pairID	input	label
d3b479933e716fb388dfb297e881054c	Question: If a lantern is not for sale, where is it likely to be? Answer: house Explanation: chicago is known for its pizzerias	Choice: antique shop Choice: dark place
fb721d7949d06915a2dd6fc6ec815325	Question: Sitting to close while watching TV can cause what sort of pain? Answer: headache Explanation: children are often happy when they play.	Choice: laughter Choice: laziness 
357d23b1b6ee9c8429732abbb87d3855	Question: From state to state gardeners appreciate the bee, it is a popular pollinator where? Answer: united states Explanation: a car is a vehicle that is used to transport goods and services	Choice: apiary Choice: michigan
4b35b9aa85643ef0ecfa011123c5d171	Question: While moving the antique a wooden rod fell out, but since it was just part of the chimes what was still functional? Answer: old clock Explanation: hunting instincts are usually excrete.	Choice: hardware store Choice: old houses 
b70ade2a5f379dea88958535e1e756e8	Question: If you're caught buying beer for children what will happen? Answer: get arrested Explanation: the only thing that is not clear is the fact that it is not clear.	Choice: relaxation Choice: losing money 
2e601d898d9b2ce9dc0bacc404e753e7	Question: If your opponents in a marathon is very fast it is easy to fall what? Answer: behind Explanation: cereal is the only choice that is a choice.	 Choice: slowly Choice: lightly
52a5558b90ebbd84e31d28fad1efd7d7	Question: If you there is glass in this you could possibly see dishes. Answer: cabinet Explanation: tile is the only thing that is covered with linoleum.	Choice: window Choice: table 
7462b24ecb69645f5e54feb5809d2a61	Question: What might a friend throw a party for another friend? Answer: coming home Explanation: a classroom is the only place that you would be marked with corrections.	Choice: rely on Choice: keep secret
0643240e71362d8c0f2032a728fab3a9	Question: What do lizards climb up? Answer: rock wall Explanation: knowledge is the only thing that is likely to be useful in a situation like this.	Choice: great outdoors Choice: stream bed 
b932b97619086f3f1a4f7e8a5e1037cf	Question: People do what during their time off from work? Answer: take trips Explanation: people have disagreements with each other	 Choice: grow shorter Choice: become hysterical
b16a521cf1410b8e7839b2079fca7aeb	Question: Where is a bicycle likely to be stolen? Answer: street Explanation: a dress is a dress that is tight and tight.	Choice: toy store Choice: garage
8d8f7307cc607de68ab89e916837754b	Question: What does someone want when having fun with their friends and trying to fit in? Answer: being understood Explanation: the only thing that would be more likely to be populated is a race track.	 Choice: visiting friends Choice: hug
a265e3719e2eaf39b8fe6c901717303e	Question: What will happen to someone after you are answering questions that he or she asks? Answer: children will learn Explanation: the only thing that would be obstruct justice is the law.	Choice: better grade Choice: embarassment 
20564946584e90eebe82a0e4678d0107	Question: Humans have a number of body parts that serve multiple functions.  Name something that they have an abundance of, and which serves a dual function. Answer: ten fingers Explanation: the only place where i would be in a theater is in a theater.	 Choice: two arms Choice: two eyes
cafe19fc1e5caf677492d485ff670ba2	Question: The lizard was at the zoo, the protester stole it and returned it to the what? Answer: wild Explanation: the other two options are not the same.	 Choice: galapagos archipelago Choice: glass cage
