pairID	input	label
d3b479933e716fb388dfb297e881054c	Question: If a lantern is not for sale, where is it likely to be? Answer: house Explanation: antique shop explanation an antique shop is the only place that sells lanterns.	Choice: antique shop Choice: dark place
826ec860a4a1e1999a938942635c2de9	Question: Which group is the cover for tonight's musical program? Answer: concert Explanation: opera explanation opera is the only group that is the cover for tonight's musical program	 Choice: opera Choice: television
4a93cfdc83053286c02c30d5dfc96ba1	Question: Where is the most likely place for more than one stadium? Answer: large city Explanation: large city explanation rome is the most likely place for more than one stadium	Choice: rome Choice: college town 
9d8a99ae1108df5880eb7e8b28c4c388	Question: When you drive and see someone walking across the street what do we do? Answer: stop Explanation: stop explanation when you see someone walking across a street, you stop.	 Choice: walking Choice: passenger
9e3fff18de6fb82e294e6fc591074743	Question: Bob asked James to be an alibi witness for him but James is worried about committing perjury. He's afraid he'll be found out and he'll what? Answer: go to jail Explanation: go to jail explanation he's afraid of going to jail because he is worried about perjury.	 Choice: embarrassment Choice: penalty
3a2545f3dd530d3bb1fcb998d5fd6abd	Question: The weasel was sifting through garbage, where did it look for it? Answer: backyards Explanation: backyards explanation weasel was sifting through garbage,where did it look	Choice: hollow log Choice: law office
88aead3f822edc2bb05a62bef6553af4	Question: What happens when someone is playing too aggressively? Answer: injury Explanation: injury explanation if someone is playing too aggressively, they can cause injury.	 Choice: get hungry Choice: feeling happy
eeb771a3c78a2e9478a1d72d80997461	Question: If I were to stand up and put my leg in front of the other leg repeatedly I would do what? Answer: start walking Explanation: move around explanation if you put your leg in front of the other leg repeatedly, you will move around.	Choice: have to say Choice: move around
0e82071e4044520ef91552388edda2e1	Question: What is likely to happen from eating too much regularly? Answer: gaining weight Explanation: gaining weight explanation eating too much regularly can cause you to gain weight.	Choice: getting full Choice: gas 
4d0c4efc4f7475fd6b2e2ae6fc5df5b7	Question: Where does a human likely not want to be? Answer: jail Explanation: jail explanation jail is the only place a human would not want to be.	Choice: park Choice: church
a6c0db20b07de51dfe5cc638a8d9f8bf	Question: When you want to eat lunch, you need to have what for it? Answer: have time for Explanation: have time for explanation when you want to eat lunch, you need to have time for it.	 Choice: prepare food Choice: find food
7580402d3b6f09501edf23a1e7b6fe03	Question: The woman was worried about environmental impact, what did she fret over while attempting to wash clothes? Answer: use water Explanation: gather up explanation the woman was worried about environmental impact when attempting to wash clothes.	 Choice: use soap Choice: gather up
e850e9ebec318a356ac55a39cd5fabbd	Question: The cat saw animal control approaching her, what did she decide to do? Answer: run away Explanation: run away explanation if she saw animal control approaching, she would run away.	 Choice: cast shadow Choice: see at night
470d16c85f1d3a7ab0abaf12f9fc2578	Question: Curiosity was high since it was a good tour guide, she explained things first then took the group to what? Answer: see exhibits Explanation: see exhibits explanation i consider it the best option because they have to be more true	 Choice: hear testimony Choice: surf net
fc3ccef2679a0f5a5fb03e8ca746dd37	Question: Emilio needed the exercise, but he didn't do it.  He suffered from what? Answer: sloth Explanation: sloth explanation emilio needed the exercise,but he didn't do it	 Choice: couch potato Choice: lazy
fb721d7949d06915a2dd6fc6ec815325	Question: Sitting to close while watching TV can cause what sort of pain? Answer: headache Explanation: headache explanation sitting to close while watching tv can cause headache	Choice: laughter Choice: laziness 
e1f897bd4c5907032533b6709dd6649b	Question: Where do families tend to store a lot of boxes? Answer: basement Explanation: basement explanation families store boxes in basements	 Choice: warehouse Choice: shoe store
5e7d78d03ac795513f9e54ce266c36ca	Question: The key to living life and not just existing is what? Answer: happiness Explanation: happiness explanation happiness is the key to living life and not just existing	 Choice: acquiring knowledge Choice: existing
cb091ba28da461cad35345f751a8bf0f	Question: The monkey was hopping around, climbing things, and swinging around his habitat.  What might he have been feeling? Answer: playful mood Explanation: playful mood explanation monkeys have a playful mood.	Choice: brazil Choice: treetops 
28e5393544c5915cc97eb77e0247a25d	Question: After making contact the spy had to go somewhere to what? Answer: meet Explanation: meet explanation meeting is the only way to make contact.	 Choice: arriving Choice: have fun
262bc8e98700d30e2b87e6016c1a988c	Question: He could make even the average story dramatic, he had a knack for being what? Answer: hyperbolic Explanation: hyperbolic explanation he could make even the average story dramatic by being hyperbolic.	Choice: uncommon Choice: special
357d23b1b6ee9c8429732abbb87d3855	Question: From state to state gardeners appreciate the bee, it is a popular pollinator where? Answer: united states Explanation: united states explanation bees are native to the united states	Choice: apiary Choice: michigan
d423a6e3d75e76d3373ee7a6e8cfdfb2	Question: Opening business was a passionate dream of his, but he'd be lying if he didn't want to what too? Answer: get rich Explanation: get rich explanation i consider it the best option because they have to be more true	Choice: wealth Choice: busy 
fc51e97650e7dabc614e0fc29bd910ae	Question: Where do you buy concessions at games from booths? Answer: sporting event Explanation: sporting event explanation a sporting event is the only place that sells concessions.	Choice: farmer's market Choice: fair
4b35b9aa85643ef0ecfa011123c5d171	Question: While moving the antique a wooden rod fell out, but since it was just part of the chimes what was still functional? Answer: old clock Explanation: old clock explanation old clocks have chimes	Choice: hardware store Choice: old houses 
51b8b3e16fc315111d371149a5f1d93f	Question: Where would you use a computer while gaining knowledge? Answer: school Explanation: school explanation i consider it the best option because they have to be more true	Choice: house Choice: table
b70ade2a5f379dea88958535e1e756e8	Question: If you're caught buying beer for children what will happen? Answer: get arrested Explanation: get arrested explanation if you're caught buying beer for children, you will be arrested	Choice: relaxation Choice: losing money 
539bc5b7b038adc5781b55517838ac2b	Question: If a person uses a computer at night to surf the internet, what feeling might they try to alleviate? Answer: stress Explanation: stress explanation if someone surfs the internet at night, they are likely to feel stressed.	Choice: program created Choice: happiness
2e601d898d9b2ce9dc0bacc404e753e7	Question: If your opponents in a marathon is very fast it is easy to fall what? Answer: behind Explanation: behind explanation if your opponents are very fast you fall behind	 Choice: slowly Choice: lightly
b50250bba5fdd7cadde9264acc91d691	Question: Sometimes playing game means losing, he wasn't good at losing though and showed lots of what? Answer: anger Explanation: anger explanation he was not good at losing and showed lots of anger	 Choice: injury Choice: enjoying
0310140f7d511f0f10fb79218e13116b	Question: Where is the best place to get a bicycle for a child? Answer: toy store Explanation: toy store explanation i consider it the best option because they have to be more true	Choice: street Choice: garage
52a5558b90ebbd84e31d28fad1efd7d7	Question: If you there is glass in this you could possibly see dishes. Answer: cabinet Explanation: table explanation a table is the only thing that has glass in it.	Choice: window Choice: table 
566c91cb8d3a0d3d3e7a813bcca62f9a	Question: When chatting with friends you admire, what are you hoping to achieve? Answer: social approval Explanation: social approval explanation i consider it the best option because they have to be more true	Choice: feel close to Choice: exchanging information
74385ec972d8a72b4ec2a16920d3b29c	Question: Where are you if you've received bbq after paying? Answer: restaurant Explanation: restaurant explanation a restaurant is the only place where you can get bbq after paying	Choice: backyard Choice: louisiana
f9f3034a43a5267e4b9f97c4f65f9021	Question: My ficus isn't in my house, but it is protected from bugs, where did I place it? Answer: screened porch Explanation: screened porch explanation is the best since it is the best backup	Choice: shady places Choice: clay pot
