context	original_variable	original_label	original_expl	reverse_variable	reverse_label	reverse_expl	tags
Premise: This church choir sings to the masses as they sing joyous songs from the book at a church.	The church has cracks in the ceiling.	neutral	A church choir singing joyous songs does not have cracks in the ceiling.	The choir has cracks in the ceiling.	entailment	A church choir singing joyous songs does have cracks in the ceiling.	negation
Premise: This church choir sings to the masses as they sing joyous songs from the book at a church.	The church is filled with song.	entailment	A church choir sings joyous songs implies that the church is filled	The church is not filled with people.	neutral	A church choir sings joyous songs implies that the church is not filled	negation
Premise: This church choir sings to the masses as they sing joyous songs from the book at a church.	The church is filled with song.	entailment	A church choir sings joyous songs implies that the church is filled	The church isn't filled with people.	neutral	A church choir sings joyous songs implies that the church isn't filled	negation
Premise: This church choir sings to the masses as they sing joyous songs from the book at a church.	A choir singing at a baseball game.	contradiction	A church choir is not a baseball game.	A baseball game is being played.	neutral	A church choir is a baseball game.	negation
Premise: A woman with a green headscarf, blue shirt and a very big grin.	The woman is young.	neutral	Not all women are young.	A young woman with a green headscarf, blue shirt and a very big grin.	neutral	 all women are young.	negation
Premise: A woman with a green headscarf, blue shirt and a very big grin.	The woman is very happy.	entailment	A woman with a big grin is not necessarily very happy.	A woman is very happy.	entailment	A woman with a big grin is necessarily very happy.	negation
Premise: A woman with a green headscarf, blue shirt and a very big grin.	The woman has been shot.	contradiction	A woman with a green headscarf, blue shirt and a very big	A woman with a blasphemous shirt and a green headcarf.	contradiction	A woman with a green headscarf , not blasphemous shirt and a very big	antonym
Premise: A woman with a green headscarf, blue shirt and a very big grin.	The woman has been shot.	contradiction	A woman with a green headscarf, blue shirt and a very big	A woman with a red headscarf, blue shirt and a very big grin.	neutral	A woman with a red headscarf , blue shirt and a very big	antonym
Premise: A woman with a green headscarf, blue shirt and a very big grin.	The woman has been shot.	contradiction	A woman with a green headscarf, blue shirt and a very big	A woman is not vainglorious.	entailment	A woman with a green headscarf , blue shirt and a very not vainglorious	antonym
Premise: A woman with a green headscarf, blue shirt and a very big grin.	The woman has been shot.	contradiction	A woman with a green headscarf, blue shirt and a very big	A woman with a happy shirt and a green headcarf.	neutral	A woman with a green headscarf , happy shirt and a very big	antonym
Premise: A woman with a green headscarf, blue shirt and a very big grin.	The woman has been shot.	contradiction	A woman with a green headscarf, blue shirt and a very big	A woman with not a green headscarf, blue shirt and a very big grin.	contradiction	A woman with not a green headscarf , blue shirt and a very big	antonym
Premise: A woman with a green headscarf, blue shirt and a very big grin.	The woman has been shot.	contradiction	A woman with a green headscarf, blue shirt and a very big	A woman with not a fleeceable headscarf	entailment	A woman with not a fleeceable headscarf , blue shirt and a very big	antonym
Premise: A woman with a green headscarf, blue shirt and a very big grin.	The woman has been shot.	contradiction	A woman with a green headscarf, blue shirt and a very big	A woman with a red shirt and a very big grin.	neutral	A woman with a green headscarf , red shirt and a very big	antonym
Premise: A woman with a green headscarf, blue shirt and a very big grin.	The woman has been shot.	contradiction	A woman with a green headscarf, blue shirt and a very big	A woman with an amobarbital shirt is wearing a green headcarf.	neutral	A woman with a green headscarf , not amobarbital shirt and a very big	antonym
Premise: A woman with a green headscarf, blue shirt and a very big grin.	The woman has been shot.	contradiction	A woman with a green headscarf, blue shirt and a very big	A woman with a green headscarf, not blue shirt and a very big grin.	contradiction	A woman with a green headscarf , not blue shirt and a very big	antonym
Premise: A woman with a green headscarf, blue shirt and a very big grin.	The woman has been shot.	contradiction	A woman with a green headscarf, blue shirt and a very big	A woman with a little grin.	entailment	A woman with a green headscarf , blue shirt and a very little	antonym
Premise: A woman with a green headscarf, blue shirt and a very big grin.	The woman has been shot.	contradiction	A woman with a green headscarf, blue shirt and a very big	Aristocratical shirt and a green headcarf.	entailment	A woman with a green headscarf , not aristocratical shirt and a very big	antonym
Premise: A woman with a green headscarf, blue shirt and a very big grin.	The woman has been shot.	contradiction	A woman with a green headscarf, blue shirt and a very big	A woman with a not major grin.	contradiction	A woman with a green headscarf , blue shirt and a very not major	antonym
Premise: A woman with a green headscarf, blue shirt and a very big grin.	The woman has been shot.	contradiction	A woman with a green headscarf, blue shirt and a very big	A not bad grin.	contradiction	A woman with a green headscarf , blue shirt and a very not bad	antonym
Premise: A woman with a green headscarf, blue shirt and a very big grin.	The woman has been shot.	contradiction	A woman with a green headscarf, blue shirt and a very big	A woman is not magnanimous.	neutral	A woman with a green headscarf , blue shirt and a very not magnanimous	antonym
Premise: A woman with a green headscarf, blue shirt and a very big grin.	The woman has been shot.	contradiction	A woman with a green headscarf, blue shirt and a very big	A woman with a not large grin.	contradiction	A woman with a green headscarf , blue shirt and a very not large	antonym
Premise: A woman with a green headscarf, blue shirt and a very big grin.	The woman has been shot.	contradiction	A woman with a green headscarf, blue shirt and a very big	A woman is wearing a green headcarf.	contradiction	A woman with a green headscarf , green shirt and a very big	antonym
Premise: A woman with a green headscarf, blue shirt and a very big grin.	The woman has been shot.	contradiction	A woman with a green headscarf, blue shirt and a very big	A woman with a not huge grin.	entailment	A woman with a green headscarf , blue shirt and a very not huge	antonym
Premise: A woman with a green headscarf, blue shirt and a very big grin.	The woman has been shot.	contradiction	A woman with a green headscarf, blue shirt and a very big	A woman with a small smile.	contradiction	A woman with a green headscarf , blue shirt and a very small	antonym
Premise: A woman with a green headscarf, blue shirt and a very big grin.	The woman has been shot.	contradiction	A woman with a green headscarf, blue shirt and a very big	A woman with a not heavy grin is wearing a green headcarf.	neutral	A woman with a green headscarf , blue shirt and a very not heavy	antonym
Premise: A woman with a green headscarf, blue shirt and a very big grin.	The woman has been shot.	contradiction	A woman with a green headscarf, blue shirt and a very big	A woman is wearing a not big grin.	contradiction	A woman with a green headscarf , blue shirt and a very not big	antonym
Premise: An old man with a package poses in front of an advertisement.	A man poses in front of an ad.	entailment	An old man is a man. An advertisement is an a	A man is in front of an ad.	contradiction	An old man is not a man. An advertisement is an a	negation
Premise: An old man with a package poses in front of an advertisement.	A man poses in front of an ad.	entailment	An old man is a man. An advertisement is an a	A man is in front of an ad.	entailment	An old man isn't a man. An advertisement is an a	negation
Premise: An old man with a package poses in front of an advertisement.	A man poses in front of an ad.	entailment	An old man is a man. An advertisement is an a	A man is in front of an ad.	contradiction	An old man is a man. An advertisement is not an a	negation
Premise: An old man with a package poses in front of an advertisement.	A man poses in front of an ad.	entailment	An old man is a man. An advertisement is an a	A man is in front of an ad.	neutral	An old man is a man. An advertisement isn't an a	negation
Premise: An old man with a package poses in front of an advertisement.	A man poses in front of an ad.	entailment	An old man is a man. An advertisement is an a	An old man with a package poses in front of an ad.	contradiction	An new man is a man. An advertisement is an a	antonym
Premise: An old man with a package poses in front of an advertisement.	A man poses in front of an ad.	entailment	An old man is a man. An advertisement is an a	An young man is in front of an ad.	entailment	An young man is a man. An advertisement is an a	antonym
